Email_ID,Sender_Domain_Reputation,Email_Subject_Type,URL_Legitimacy_Score,Attachment_Type,Email_Presentation,User_ID,Stress_Level,Curiosity_Index,Urgency_Trigger,Prior_Training,Email_Opened,Link_Clicked,Attachment_Downloaded,Reported_Phishing,Time_to_React
30,0.046450412719997725,Fear,0.5391612766752545,none,Poorly_Formed,153,0.8992489182892025,0.4873748079212449,0,1,1,0,0,0,206.0
31,0.6075448519014384,Curiosity,0.31130769915600365,.pdf,Poorly_Formed,173,0.6235053112473372,0.6250915526865286,0,0,1,0,0,0,254.0
32,0.17052412368729153,Urgency,0.6103337833109184,none,Well_Formed,177,0.13128797200482423,0.9461868939912612,1,0,0,0,0,0,
33,0.06505159298527952,Curiosity,0.7161506742231936,.zip,Poorly_Formed,126,0.3096917111051891,0.5797714417624796,1,1,0,0,0,1,
34,0.9488855372533332,Reward,0.27262400073353377,.zip,Poorly_Formed,89,0.20179494825245692,0.5402172667786186,0,1,0,0,0,1,
35,0.9656320330745594,Urgency,0.4135491015253515,none,Poorly_Formed,144,0.9088264977168623,0.050322932934663944,1,0,0,0,0,0,
36,0.8083973481164611,Reward,0.12188609333694755,none,Poorly_Formed,147,0.7604000672874827,0.06290747601802393,1,1,0,0,0,0,
37,0.3046137691733707,Reward,0.18114934953468032,none,Poorly_Formed,151,0.676398368910006,0.1873467913267889,0,1,0,0,0,0,
38,0.09767211400638387,Curiosity,0.6811178539649828,.zip,Poorly_Formed,25,0.3009663196316217,0.03247077169174828,1,0,0,0,0,0,
39,0.6842330265121569,Reward,0.18143834769562694,none,Well_Formed,16,0.18404477205021352,0.7433528955700124,0,1,0,0,0,1,
40,0.4401524937396013,Curiosity,0.5251633836670602,none,Poorly_Formed,182,0.7564510879889118,0.7233303039939631,0,0,1,0,0,0,240.0
41,0.12203823484477883,Urgency,0.7090462617224327,.pdf,Poorly_Formed,73,0.47415794587907967,0.13605623443164294,0,0,0,0,0,0,
42,0.4951769101112702,Curiosity,0.10687692309474384,none,Well_Formed,129,0.22578955215062912,0.8360789007952809,0,1,0,0,0,1,
43,0.034388521115218396,Urgency,0.5673122196289035,none,Poorly_Formed,42,0.6166219781652751,0.15478603484611198,1,1,0,1,0,0,
44,0.9093204020787821,Curiosity,0.25656278370136376,.pdf,Poorly_Formed,147,0.040333852138451975,0.3011755869973588,0,0,0,0,0,0,
45,0.2587799816000169,Fear,0.9629268752375798,.zip,Well_Formed,162,0.3261702541282535,0.248976899161365,1,0,0,0,0,0,
46,0.662522284353982,Fear,0.4835456467199247,.pdf,Poorly_Formed,80,0.46855699459113465,0.3723070985730478,1,0,0,0,0,0,
47,0.31171107608941095,Reward,0.8059925497751581,.zip,Poorly_Formed,104,0.14795833410940584,0.25466376588996187,1,0,0,0,0,0,
48,0.5200680211778108,Curiosity,0.5502265421562618,.pdf,Poorly_Formed,183,0.9846544775908396,0.48895092643845206,0,0,1,0,0,0,51.0
49,0.5467102793432796,Curiosity,0.043412532854819164,.pdf,Poorly_Formed,146,0.20909736458961425,0.4074078813546854,1,0,0,0,0,0,
50,0.18485445552552704,Urgency,0.6331513755940223,.zip,Well_Formed,34,0.13035313004326554,0.9865694907793265,0,1,0,0,1,1,
51,0.9695846277645586,Reward,0.951403342206657,.pdf,Well_Formed,89,0.2035348738868964,0.055926350128225666,0,0,0,0,0,0,
52,0.7751328233611146,Curiosity,0.6016118201463312,.zip,Poorly_Formed,125,0.7690611331597242,0.14218137638735162,0,0,0,0,0,0,
53,0.9394989415641891,Reward,0.8191888594267902,none,Well_Formed,45,0.4255056592718428,0.052825893908602484,0,1,0,0,0,1,
54,0.8948273504276488,Fear,0.8842064633484078,none,Well_Formed,134,0.565415939752538,0.6258411949823758,1,1,0,0,0,0,
55,0.5978999788110851,Curiosity,0.22807977194893247,.zip,Poorly_Formed,21,0.021009156986360744,0.05450927741371958,0,0,0,0,0,0,
56,0.9218742350231168,Curiosity,0.21204483990822665,none,Well_Formed,122,0.034431308573314556,0.8364397373761233,1,0,0,0,0,0,
57,0.0884925020519195,Reward,0.6109809888509917,.pdf,Poorly_Formed,70,0.44582554982701617,0.5119386306819278,0,1,0,0,0,1,
58,0.1959828624191452,Curiosity,0.4110284698067047,.zip,Poorly_Formed,96,0.8166552432016235,0.5270076245815337,0,0,1,0,0,0,277.0
59,0.045227288910538066,Reward,0.8398613028667203,.zip,Poorly_Formed,105,0.8852388787075652,0.5615945077121942,1,0,1,1,0,0,192.0
60,0.32533033076326434,Curiosity,0.9000231233980112,.pdf,Poorly_Formed,48,0.08670656759564022,0.17081370630621073,1,1,0,0,0,1,
61,0.388677289689482,Urgency,0.3534213793027181,none,Poorly_Formed,39,0.5383631021010228,0.19769030311448754,0,0,0,0,0,0,
62,0.2713490317738959,Reward,0.23687055897448206,none,Well_Formed,31,0.9132296862792705,0.3188173228730047,0,0,1,0,0,0,111.0
63,0.8287375091519293,Curiosity,0.7805255152438618,.zip,Poorly_Formed,10,0.38797275439788637,0.5934964158218514,0,0,0,0,0,0,
64,0.3567533266935893,Fear,0.2748060355481361,.zip,Poorly_Formed,30,0.8295658314283686,0.21011777594021452,0,0,0,0,0,0,
65,0.28093450968738076,Curiosity,0.8226143185136784,.pdf,Poorly_Formed,18,0.1336956543994362,0.11633172713326123,1,0,0,0,0,0,
66,0.5426960831582485,Fear,0.42373825364876283,.zip,Well_Formed,188,0.9353944896677987,0.9701168864184322,1,1,1,1,1,0,32.0
67,0.14092422497476265,Fear,0.6675498992914705,.zip,Well_Formed,88,0.7514233175313026,0.021981814809622913,0,0,0,0,0,0,
68,0.8021969807540397,Urgency,0.09553531383466818,.zip,Well_Formed,125,0.9413343927869017,0.8026974053360216,1,0,1,0,1,0,277.0
69,0.07455064367977082,Reward,0.623859324676573,none,Well_Formed,73,0.6766172335525065,0.7880351495750221,0,0,1,0,0,0,233.0
70,0.9868869366005173,Curiosity,0.4517676787372291,none,Well_Formed,15,0.363403931999427,0.297214113845096,0,1,0,0,0,1,
71,0.7722447692966574,Urgency,0.5866084631754741,.pdf,Poorly_Formed,4,0.9381811725247224,0.1356266160073134,0,1,0,0,0,0,
72,0.1987156815341724,Curiosity,0.16801420774486342,none,Well_Formed,191,0.2755667763091785,0.14562864670542341,1,0,0,0,0,0,
73,0.005522117123602399,Fear,0.7368737449441821,.pdf,Well_Formed,168,0.33217252206173253,0.6974316172371925,0,1,0,0,0,1,
74,0.8154614284548342,Reward,0.8627970775432285,.pdf,Well_Formed,9,0.7008084180017403,0.6428065910861737,0,0,1,0,0,0,7.0
75,0.7068573438476171,Curiosity,0.21673980009077565,.zip,Well_Formed,109,0.7653162995253863,0.7827456742513867,0,0,1,0,1,0,197.0
76,0.7290071680409873,Curiosity,0.09571455552016173,.pdf,Poorly_Formed,137,0.9294034838491538,0.9374811723991047,0,0,1,0,1,0,77.0
77,0.7712703466859457,Fear,0.023638586046336396,none,Poorly_Formed,154,0.2048024090562095,0.691927363266592,1,0,0,0,0,0,
78,0.07404465173409036,Curiosity,0.641971500443266,.pdf,Poorly_Formed,132,0.797998035219224,0.15585153655144346,0,0,0,0,0,0,
79,0.3584657285442726,Curiosity,0.6070940360887808,.pdf,Well_Formed,16,0.7385460533969634,0.24344261676541068,0,1,0,0,0,0,
80,0.11586905952512971,Fear,0.54669741271407,.pdf,Poorly_Formed,143,0.06379455625359787,0.8421937308731146,1,0,0,0,1,0,
81,0.8631034258755935,Urgency,0.23194709611597542,.zip,Poorly_Formed,99,0.38722314121020696,0.20930607583420857,1,1,0,0,0,1,
82,0.6232981268275579,Fear,0.39090599590551467,none,Well_Formed,121,0.2827654570600986,0.07252231695448141,1,0,0,0,0,0,
83,0.3308980248526492,Urgency,0.594476335186173,.pdf,Poorly_Formed,52,0.3044904243540304,0.7032800540422505,0,0,0,0,1,0,
84,0.06355835028602363,Reward,0.4967668588591694,.pdf,Well_Formed,69,0.9829468795547008,0.40252635549014204,0,0,1,0,0,0,17.0
85,0.3109823217156622,Urgency,0.9877855202148873,.pdf,Poorly_Formed,5,0.6427774134799279,0.9200400525459036,0,1,1,0,1,0,73.0
86,0.32518332202674705,Urgency,0.13643975255673313,.pdf,Poorly_Formed,20,0.7176761577934996,0.6502550710936615,0,0,1,0,0,0,261.0
87,0.7296061783380641,Reward,0.6951445540475938,.zip,Poorly_Formed,79,0.9766176373150092,0.09041897779166075,1,1,0,0,0,0,
88,0.6375574713552131,Urgency,0.4043187681042921,.pdf,Well_Formed,146,0.3772017824576387,0.9478565672536607,0,0,1,0,1,0,51.0
89,0.8872127425763265,Fear,0.42819961492561476,.zip,Poorly_Formed,111,0.8018401684528059,0.2585572636402459,0,0,0,0,0,0,
90,0.4722149251619493,Urgency,0.7175977656581762,none,Poorly_Formed,2,0.43453096330449537,0.33721249040628576,0,0,0,0,0,0,
91,0.1195942459383017,Reward,0.6924361513243696,none,Well_Formed,93,0.8695336718149798,0.40226041368354204,0,0,1,0,0,0,184.0
92,0.713244787222995,Fear,0.9912559937021883,none,Poorly_Formed,13,0.18065754131130318,0.05122429640431325,1,0,0,0,0,0,
93,0.7607850486168974,Reward,0.12839428945412523,.pdf,Well_Formed,4,0.9476861770642796,0.49651542223060485,0,0,1,0,0,0,288.0
94,0.5612771975694962,Reward,0.10410964938416634,.pdf,Well_Formed,170,0.21877170841087967,0.12331849107529225,0,1,0,0,0,1,
95,0.770967179954561,Curiosity,0.7243388171287412,.zip,Poorly_Formed,109,0.3262205069809315,0.40097032668835175,0,0,0,0,0,0,
96,0.49379559636439074,Curiosity,0.5783869170064091,none,Well_Formed,74,0.7561922341067805,0.3507097879920843,0,1,0,0,0,0,
97,0.5227328293819941,Reward,0.27416066655980587,.zip,Poorly_Formed,189,0.3937551415654067,0.7728400834265033,0,0,0,0,1,0,
98,0.42754101835854963,Reward,0.0794193689889866,.pdf,Well_Formed,95,0.6082113767664467,0.8031705116327311,1,1,1,0,1,0,144.0
99,0.02541912674409519,Reward,0.08565824959643054,.zip,Poorly_Formed,105,0.4445735010694285,0.153412882389088,0,1,0,0,0,1,
100,0.10789142699330445,Curiosity,0.8941908746641183,.zip,Well_Formed,8,0.7423699370897818,0.3665511873792262,1,0,0,1,0,0,
101,0.03142918568673425,Curiosity,0.1918673247187429,.pdf,Poorly_Formed,67,0.22833125236861085,0.3733531610318317,1,0,0,0,0,0,
102,0.6364104112637804,Urgency,0.32337156211552076,.zip,Well_Formed,191,0.05845798723687701,0.15141044393608505,1,1,0,0,0,1,
103,0.3143559810763267,Urgency,0.22665640222698802,none,Poorly_Formed,110,0.29992939747306624,0.7984535050511905,1,1,0,0,0,1,
104,0.5085706911647028,Reward,0.3549963058319373,.pdf,Poorly_Formed,9,0.47430866486843026,0.7072283283354233,0,0,0,0,1,0,
105,0.907566473926093,Fear,0.06942384274609337,.zip,Poorly_Formed,117,0.16802005219267857,0.19038178629703473,0,0,0,0,0,0,
106,0.24929222914887494,Fear,0.5190597909082704,.pdf,Poorly_Formed,11,0.3547972896563887,0.36672190859379905,0,1,0,0,0,1,
107,0.41038292303562973,Curiosity,0.0676125635922149,.zip,Well_Formed,99,0.3999830182935685,0.10580502485651422,1,0,0,0,0,0,
108,0.7555511385430487,Curiosity,0.8003565078223616,.zip,Poorly_Formed,42,0.05739184368827355,0.6282065970930439,1,1,0,0,0,1,
109,0.22879816549162246,Curiosity,0.23371208191043302,none,Well_Formed,141,0.5833072481842045,0.12137192454861967,1,0,0,1,0,0,
110,0.07697990982879299,Reward,0.5400119146045106,.zip,Well_Formed,164,0.8843434279712875,0.9859341686249178,0,0,1,0,1,0,279.0
111,0.289751452913768,Fear,0.8800790875614583,none,Well_Formed,120,0.15174291295305242,0.7806820746878623,1,1,0,0,0,1,
112,0.16122128725400442,Urgency,0.6508773690471942,.zip,Poorly_Formed,141,0.597808013401514,0.39023854958399506,0,1,0,0,0,0,
113,0.9296976523425731,Reward,0.5329577865513353,.zip,Poorly_Formed,12,0.6647392049108463,0.5785639322793544,0,0,1,0,0,0,292.0
114,0.808120379564417,Urgency,0.3243337531153756,none,Well_Formed,37,0.41933468041928834,0.9113418162164088,0,0,1,0,0,0,116.0
115,0.6334037565104235,Urgency,0.33300191305819793,.pdf,Poorly_Formed,74,0.70109758736427,0.5540992803958261,0,1,1,0,0,0,28.0
116,0.8714605901877177,Reward,0.6694869551981901,.zip,Poorly_Formed,73,0.41073154349101204,0.17449848639795518,0,1,0,0,0,1,
117,0.8036720768991145,Urgency,0.9941393612211675,.pdf,Well_Formed,52,0.5046372879774349,0.3787033555811593,0,0,0,0,0,0,
118,0.18657005888603584,Fear,0.6618391898493786,.zip,Well_Formed,199,0.00735304455442698,0.8431448650297454,0,1,0,0,1,1,
119,0.8925589984899778,Urgency,0.5577834173700249,none,Well_Formed,130,0.6917201141346888,0.6442130159896179,1,1,1,0,0,0,194.0
120,0.5393422419156507,Fear,0.7306505102392461,.pdf,Poorly_Formed,56,0.6613426789447244,0.6507243843338003,1,1,1,0,0,0,200.0
121,0.8074401551640625,Fear,0.46520561228371815,none,Well_Formed,60,0.03840087732634456,0.8668214856884892,1,1,0,0,0,1,
122,0.8960912999234932,Fear,0.060142342600785215,none,Poorly_Formed,23,0.3682501073951331,0.8939730574625047,0,0,1,0,0,0,209.0
123,0.3180034749718639,Curiosity,0.5622968158779098,.pdf,Poorly_Formed,103,0.9790318407916674,0.9197925717794363,1,1,1,1,1,0,186.0
124,0.11005192452767676,Urgency,0.9576252845053802,none,Well_Formed,40,0.4207365625686168,0.0948491932531561,1,1,0,0,0,1,
125,0.22793516254194168,Reward,0.17530294235765964,.pdf,Poorly_Formed,64,0.5019454051318417,0.5441260019631009,0,0,0,0,0,0,
126,0.4271077886262563,Reward,0.6900048908206657,none,Poorly_Formed,85,0.9099301581597186,0.7405095212183186,0,0,1,0,0,0,15.0
127,0.8180147659224931,Urgency,0.20093368865905648,.zip,Poorly_Formed,151,0.7172618758657564,0.7569268451270138,0,0,1,0,1,0,74.0
128,0.8607305832563434,Curiosity,0.5358276844730813,.pdf,Well_Formed,157,0.5820701311242236,0.6067162019700039,0,1,0,0,0,0,
129,0.006952130531190703,Curiosity,0.09667644964671962,.pdf,Well_Formed,179,0.7978046813410725,0.16678733518367417,1,0,0,1,0,0,
130,0.5107473025775657,Fear,0.45037093625818514,.pdf,Well_Formed,197,0.8643662664559733,0.7974205539416643,1,1,1,1,1,0,263.0
131,0.417411003148779,Urgency,0.7561633288952461,.pdf,Well_Formed,89,0.45688807173726687,0.7201113335149457,0,1,0,0,1,1,
132,0.22210781047073025,Urgency,0.3475715242389821,none,Poorly_Formed,31,0.4751083649318354,0.08613577154903629,1,1,0,0,0,1,
133,0.1198653673336828,Reward,0.664911724487218,.zip,Poorly_Formed,178,0.3860509356518358,0.46380982467437626,1,1,0,0,0,1,
134,0.33761517140362796,Urgency,0.7954499607897292,.zip,Poorly_Formed,20,0.9667061400184606,0.17397739952180358,1,1,0,1,0,0,
135,0.9429097039125192,Curiosity,0.9271778194794527,none,Poorly_Formed,183,0.6971662542903504,0.3374770457129719,0,0,0,0,0,0,
136,0.32320293202075523,Urgency,0.23464208185545354,.pdf,Poorly_Formed,130,0.0832230662080723,0.018081092205685434,1,1,0,0,0,1,
137,0.5187906217433661,Reward,0.39931591580930814,none,Well_Formed,153,0.8629596233130185,0.40032986841075824,0,0,1,0,0,0,111.0
138,0.7030189588951778,Fear,0.15241601333041743,none,Poorly_Formed,13,0.4805599408362681,0.5498769211562105,0,1,0,0,0,1,
139,0.363629602379294,Reward,0.9924835021583752,none,Poorly_Formed,122,0.06875390642248747,0.6195825928270868,0,0,0,0,0,0,
140,0.9717820827209607,Reward,0.9270009679242953,none,Poorly_Formed,103,0.549717255163311,0.6634903451287101,0,1,1,0,0,0,159.0
141,0.9624472949421112,Fear,0.5399571302805596,.zip,Poorly_Formed,106,0.4171642789757021,0.83629131310246,1,1,1,0,1,1,281.0
142,0.25178229582536416,Reward,0.8420332943764213,.zip,Well_Formed,119,0.8777494048626249,0.21546290727573003,0,1,0,0,0,0,
143,0.49724850589238545,Reward,0.5209579772720422,none,Poorly_Formed,70,0.20399460360938737,0.12048182243846794,0,0,0,0,0,0,
144,0.30087830981676966,Urgency,0.6235856880027597,.pdf,Poorly_Formed,195,0.8264646094921829,0.8515371718979257,0,0,1,0,1,0,17.0
145,0.2848404943774676,Urgency,0.08912443211601662,.zip,Well_Formed,186,0.5576886911854527,0.1566128148926499,1,1,0,0,0,0,
146,0.036886947354532795,Fear,0.7552704204968079,.pdf,Poorly_Formed,99,0.05461030321346905,0.9747600813361953,0,0,0,0,1,0,
147,0.6095643339798968,Urgency,0.12771348363523483,none,Poorly_Formed,82,0.9718453013254846,0.842538229398637,1,1,1,0,0,0,218.0
148,0.5026790232288615,Urgency,0.8260676302525284,.pdf,Poorly_Formed,75,0.5126152441031999,0.5008766058895991,0,0,0,0,0,0,
149,0.05147875124998935,Reward,0.7820280876703859,.pdf,Well_Formed,118,0.2908768542315825,0.9814214249220252,0,1,1,0,1,1,163.0
150,0.27864646423661144,Curiosity,0.7087446977429764,.pdf,Well_Formed,84,0.4694068419892581,0.09737672910800421,0,0,0,0,0,0,
151,0.9082658859666537,Urgency,0.036160380524762115,.zip,Well_Formed,192,0.857857783517489,0.30306576117510164,0,1,0,0,0,0,
152,0.23956189066697242,Curiosity,0.3031283559453286,.pdf,Poorly_Formed,69,0.3049031243850635,0.6382244150406114,0,1,0,0,0,1,
153,0.1448948720912231,Urgency,0.26311256991084286,.pdf,Well_Formed,59,0.19267639648670032,0.35000686847317874,0,0,0,0,0,0,
154,0.489452760277563,Urgency,0.3601364074715191,.zip,Poorly_Formed,188,0.12907124693088146,0.9283725519807918,1,0,0,0,1,0,
155,0.9856504541106007,Fear,0.08764274676383854,none,Poorly_Formed,126,0.29785939839021125,0.06562608817781757,1,0,0,0,0,0,
156,0.2420552715115004,Fear,0.9369578230310628,.pdf,Poorly_Formed,111,0.7800480870400435,0.5494118320609646,0,1,1,0,0,0,128.0
157,0.6721355474058786,Fear,0.5538022407123763,none,Poorly_Formed,62,0.4716263651952617,0.5908662673951145,0,1,0,0,0,1,
158,0.7616196153287176,Curiosity,0.30552431065802355,none,Well_Formed,144,0.22748160369353998,0.6527281237772241,1,1,0,0,0,1,
159,0.23763754399239967,Reward,0.3969815170742834,.zip,Well_Formed,128,0.1661849996097492,0.25566622333181444,0,1,0,0,0,1,
160,0.7282163486118596,Urgency,0.44720254050483565,.pdf,Well_Formed,105,0.3327294765103791,0.36456642751986446,0,0,0,0,0,0,
161,0.3677831327192532,Urgency,0.6005943333606173,.pdf,Well_Formed,68,0.9399243728857088,0.8436805296649776,1,0,1,1,1,0,119.0
162,0.6323058305935795,Urgency,0.5156794276964978,none,Well_Formed,15,0.3430267125900244,0.19494276897015983,1,0,0,0,0,0,
163,0.6335297107608947,Curiosity,0.9193919732144173,.zip,Poorly_Formed,183,0.9881240759546354,0.826867847173362,0,0,1,0,1,0,216.0
164,0.5357746840747585,Fear,0.49696348290583026,.pdf,Poorly_Formed,35,0.4852304557653562,0.5626554229027424,0,1,0,0,0,1,
165,0.0902897700544083,Reward,0.9921580148233127,.pdf,Well_Formed,183,0.17916391829015088,0.7621875111940821,0,1,0,0,1,1,
166,0.835302495589238,Curiosity,0.8514249577450957,.zip,Poorly_Formed,14,0.8911400917935094,0.7136073662634715,1,0,1,0,1,0,31.0
167,0.32078006497173583,Fear,0.2085105143573358,.zip,Well_Formed,177,0.4603553731348269,0.207511495384879,0,1,0,0,0,1,
168,0.18651851039985423,Curiosity,0.9305952146439163,.pdf,Poorly_Formed,102,0.7096713435045244,0.5688127364338729,0,1,1,0,0,0,219.0
169,0.040775141554763916,Reward,0.11636639788547609,none,Poorly_Formed,100,0.9837115832091518,0.8677231528050924,0,0,1,0,0,0,225.0
170,0.5908929431882418,Fear,0.8174497084911916,.pdf,Poorly_Formed,7,0.050175350319974,0.43211623680192934,0,0,0,0,0,0,
171,0.6775643618422824,Curiosity,0.3806232934765801,.pdf,Poorly_Formed,30,0.09669455978756714,0.9665907702233167,1,0,0,0,1,0,
172,0.016587828927856152,Reward,0.8779743204450695,.pdf,Poorly_Formed,49,0.7204567414627562,0.45221510010171806,1,1,0,1,0,0,
173,0.512093058299281,Urgency,0.8680566901074503,none,Well_Formed,144,0.281825003295472,0.14278563666788469,1,1,0,0,0,1,
174,0.22649577519793795,Reward,0.8059254001176211,.zip,Poorly_Formed,111,0.18430139695009906,0.38943468007767323,0,1,0,0,0,1,
175,0.6451727904094499,Urgency,0.7900304363070614,none,Well_Formed,179,0.039361879819729495,0.9517024063905372,0,0,0,0,0,0,
176,0.17436642900499144,Curiosity,0.3046791390980408,.zip,Poorly_Formed,72,0.021846711986201806,0.31972084933985423,0,0,0,0,0,0,
177,0.690937738102466,Fear,0.08091928305125218,.pdf,Poorly_Formed,80,0.7744856031197909,0.8680981598670628,0,1,1,0,1,0,180.0
178,0.3867353463005374,Fear,0.40298017876516146,.zip,Poorly_Formed,83,0.13443342736955,0.8812506816818898,1,1,0,0,1,1,
179,0.9367299887367345,Curiosity,0.17352451498650867,.zip,Well_Formed,42,0.4677206159711509,0.35018652433196107,0,1,0,0,0,1,
180,0.13752094414599325,Fear,0.6949510889024617,.pdf,Poorly_Formed,17,0.605896815179483,0.08325765805063212,0,1,0,0,0,0,
181,0.3410663510502585,Fear,0.34609972653778553,.zip,Well_Formed,191,0.42835180056884625,0.7245579091588182,0,0,0,0,1,0,
182,0.11347352124058907,Urgency,0.9756102008599149,none,Poorly_Formed,173,0.027106652336233106,0.311512299013986,1,1,0,0,0,1,
183,0.9246936182785628,Curiosity,0.640972077345332,.zip,Well_Formed,7,0.7835015025879088,0.7829236142575724,0,1,1,0,1,0,20.0
184,0.877339353380981,Reward,0.822480563634361,.pdf,Poorly_Formed,155,0.010513224541653488,0.4426548482604331,0,0,0,0,0,0,
185,0.2579416277151556,Urgency,0.13252467274184843,.pdf,Well_Formed,10,0.761889894377484,0.48526674234262157,0,1,1,0,0,0,109.0
186,0.659984046034179,Curiosity,0.8620144822726226,.zip,Well_Formed,34,0.8933044937881227,0.7779094067485368,1,0,1,0,1,0,136.0
187,0.8172222002012158,Urgency,0.9227571905133943,.zip,Well_Formed,36,0.4328399210571723,0.3823633310616279,0,0,0,0,0,0,
188,0.5552008115994623,Reward,0.4870619188189359,.pdf,Poorly_Formed,153,0.5355424730977982,0.44312734532291453,1,0,0,0,0,0,
189,0.5296505783560065,Reward,0.6062529377509774,.pdf,Poorly_Formed,6,0.47698339261765377,0.37619046876962214,1,0,0,0,0,0,
190,0.24185229090045168,Curiosity,0.7648098009029954,.pdf,Poorly_Formed,152,0.3892086186234388,0.36734051527727996,0,0,0,0,0,0,
191,0.09310276780589921,Reward,0.17483862726041255,.pdf,Well_Formed,146,0.8874245353703603,0.5259465769014594,1,0,1,1,0,0,42.0
192,0.8972157579533268,Urgency,0.5025660764634424,.pdf,Well_Formed,134,0.8939335106699905,0.8087994445011507,0,1,1,0,1,0,244.0
193,0.9004180571633305,Reward,0.3986630277723131,.zip,Well_Formed,29,0.3358163646415345,0.36176831192256587,1,0,0,0,0,0,
194,0.6331014572732679,Urgency,0.1463739921622491,.pdf,Poorly_Formed,126,0.615069754014698,0.5242547205377367,0,0,0,0,0,0,
195,0.3390297910487007,Urgency,0.36753442229153144,none,Poorly_Formed,153,0.9269075621458641,0.6707273254426008,0,0,1,0,0,0,14.0
